,author_name,books_name
4787,Judy Cooley,['Mom Says I Can']
4788,Radclyffe,"[""Against Doctor's Orders""]"
4789,Sweden Reese,['The Southern Gentleman: Protective Instinct (Dominant Heroes Collection #1)']
4790,Paul Hamilton,"[""How Very Interesting: Peter Cook's Universe and All That Surround It""]"
4791,Peter Gordon,"[""How Very Interesting: Peter Cook's Universe and All That Surround It""]"
4792,Dan Kieran,"[""How Very Interesting: Peter Cook's Universe and All That Surround It""]"
4793,Alexis E. Fajardo,['Kid Beowulf and the Blood-Bound Oath']
4794,L.K. Collins,['The Arrogant Architect']
4795,Jackie Ivie,"['Knight Everlasting (Knights, #2)']"
4796,Paul Magrs,['Lost on Mars']
4797,Bernard Cornwell,['1356']
4798,E.T.A. Hoffmann,['Murr Kedinin Hayat Görüşleri']
4799,Iclal Cankorel,['Murr Kedinin Hayat Görüşleri']
4800,Allen Ginsberg,['The Selected Letters of Allen Ginsberg and Gary Snyder']
4801,Gary Snyder,['The Selected Letters of Allen Ginsberg and Gary Snyder']
4802,Bill Morgan,"['The Selected Letters of Allen Ginsberg and Gary Snyder', ""The Civil War Lover's Guide to New York City""]"
4803,Stuart Ross,"['Snowball, Dragonfly, Jew: A Novel', 'You Exist. Details Follow.']"
4804,Patrice Wilton,['A HEAVENLY CHRISTMAS (Heavenly Christmas series Book 1)']
4805,C.J. Henderson,['Kolchak and the Lost World']
4806,Sharon Lathan,['Mr. & Mrs. Fitzwilliam Darcy: Two Shall Become One (Darcy Saga #1)']
4807,Catherine Coulter,"['Blow Out (FBI Thriller, #9)', 'Moonspun Magic (Magic Trilogy, #3)', 'Moonspun Magic']"
4808,Margaret Tanner,"['Reluctant Father', ""Lauren's Dilemma""]"
4809,Katriina Huttunen,"['Metsästäjät (Osasto Q, #2)', 'Libri di Lucan arvoitus']"
4810,Harry Kraus,['A Heartbeat Away']
4811,Nkodem,"['Manioka (Manioka, #1)']"
4812,Susan L. Rattiner,['An Occurrence at Owl Creek Bridge and Other Stories']
4813,Bart D. Ehrman,"['Forgery and Counter-forgery: The Use of Literary Deceit in Early Christian Polemics', 'Lost Christianities: Christian Scriptures and the Battles over Authentication']"
4814,Michael Jayston,"['The Spy Who Came in from the Cold (George Smiley #3)', 'A Small Town in Germany']"
4815,Isabel Allende,['Ines Of My Soul']
4816,Nicola Baxter,['Castle Under Attack (DK LEGO Readers: Level 2: Beginning to Read Alone)']
4817,Roger Harris,['Castle Under Attack (DK LEGO Readers: Level 2: Beginning to Read Alone)']
4818,A.L. Parks,"['Strangers (Strangers, #1)']"
4819,Anne L. Parks,"['Strangers (Strangers, #1)']"
4820,Anthony Swofford,"[""Jarhead: A Marine's Chronicle of the Gulf War and Other Battles"", ""Jarhead: A Marine's Chronicle of the Gulf War and Other Battles""]"
4821,Kristen Proby,"['Easy Kisses (Boudreaux, #4)']"
4822,Rachel Fulginiti,"['Easy Kisses (Boudreaux, #4)']"
4823,Joseph M. Schuster,['The Might Have Been: A Novel']
4824,E.J. Copperman,"['The Question of the Unfamiliar Husband', 'Inspector Specter (A Haunted Guesthouse Mystery, #6)']"
4825,Jeff Cohen,['The Question of the Unfamiliar Husband']
4826,Joanne Macgregor,['Scarred']
4827,Abby Clements,"[""Vivien's Heavenly Ice Cream Shop""]"
4828,Stephenie Meyer,"['Crepúsculo (Crepúsculo, #1)', 'Nómada', ""Bree Tanner'ın İkinci Hayatı"", 'The Short Second Life Of Bree Tanner - Kisah Singkat Bree Tanner']"
4829,Ryta Vinagre,"['Crepúsculo (Crepúsculo, #1)']"
4830,Jim Butcher,"['Fool Moon (The Dresden Files, #2)', 'La tumba', ""It's My Birthday, Too (The Dresden Files, #9.2)""]"
4831,Lisa Unger,['Black Out']
4832,Thilde Barboni,['Hibakusha']
4833,Olivier Cinna,['Hibakusha']
4834,Lori King,['Handcuffed By Destiny (Crawley Creek #5)']
4835,Iris Dorbian,"['""Love, Loss and Longing in the Age of Reagan: Diary of a Mad Club Girl""']"
4836,Giorgio Manganelli,['I tre moschettieri']
4837,Marisa Zini,['I tre moschettieri']
4838,Meghan March,"['Dirty Together (The Dirty Billionaire Trilogy, #3)', 'Defiant Queen (Mount Trilogy, #2)', 'Sinful Empire (Mount Trilogy, #3)']"
4839,Elena Wolfe,"['Dirty Together (The Dirty Billionaire Trilogy, #3)']"
4840,Trevor Noah,"['Born a Crime: Stories From a South African Childhood', 'Born a Crime: Stories from a South African Childhood']"
4841,Berrak Gocer,"[""Paris ve Londra'da Beş Parasız""]"
4842,Kate  Wilson,['Martha Loves Monty']
4843,Charlotte Bronte,"['Jane Eyre', 'Jane Eyre', 'Jane Eyre']"
4844,Mike Myers,['Canada']
4845,Bessel A. van der Kolk,"['The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma']"
4846,mHmd rDyy rd,['مبانی اندیشه سیاسی در خرد مزدایی / The Foundations of Political Thought In The Mazdaik Wisdom']
4847,Cesare Beccaria,['Dei delitti e delle pene e commento di Voltaire']
4848,Simonetta Traversetti,['Dei delitti e delle pene e commento di Voltaire']
4849,Mary Higgins Clark,"['Du entkommst mir nicht', '¿Dónde te escondes?', 'El ojo avizor', ""I'll Walk Alone""]"
4850,Peter Culley,['Hammertown']
4851,Havan Fellows,['Le jugement de Jude']
4852,Jade Baiser,['Le jugement de Jude']
4853,France Richemond,"[""La Geste d'Orléans (Le Trone d'Argile #6)""]"
4854,Theo,"[""La Geste d'Orléans (Le Trone d'Argile #6)""]"
4855,Lorenzo Pieri,"[""La Geste d'Orléans (Le Trone d'Argile #6)""]"
4856,Elvo Fortunato Bucci,['Songs of the Deliverer: A Modern Day Story of Christ']
4857,Edmund White,"['The Farewell Symphony', 'Fanny']"
4858,"mHmd jbr,lsyd",['آخر محاولة للزعل']
4859,Jean Plaidy,"['The Reluctant Queen: The Story of Anne of York (Queens of England, #8)', 'Hammer of the Scots (Plantagenet Saga, #7)', 'Evergreen Gallant', 'Light on Lucrezia (Lucrezia Borgia, #2)']"
4860,Jeff  Hirsch,['Between the Rivers: Manhattan 1880-1920']
4861,Jumping Jack Flash,"[""Jack Saturday Can't Fail""]"
4862,Jesse Hajicek,"[""Jack Saturday Can't Fail""]"
4863,Jane Addams,['Peace and Bread in Time of War']
4864,Kenji Ekuan,['The Aesthetics of the Japanese Lunchbox']
4865,David B. Stewart,['The Aesthetics of the Japanese Lunchbox']
4866,Erle Stanley Gardner,"['The Case of the Moth-Eaten Mink (Perry Mason, #39)', 'O Caso do Cão Uivador', 'Perry Mason ja tummaverikön tapaus']"
4867,Timothy Garton Ash,['The File: A Personal History']
4868,Frederick Taylor,['The Berlin Wall: 13 August 1961   9 November 1989']
4869,Charles Barry Townsend,"[""The World's Most Challenging Puzzles""]"
4870,Sonia Rachline,['Paris Vogue Covers: 1920-2009']
4871,Carine Roitfeld,['Paris Vogue Covers: 1920-2009']
4872,Jessica S. Carter,['Villainous']
4873,Dave Wolverton,"['Trouble on Tatooine (Star Wars: Episode I Adventures, #8)']"
4874,A.K. Taylor,"['Escape from Ancient Egypt (Neiko Adventure Saga, #2)']"
4875,Larry King,"[""Powerful Prayers: Conversations on Faith, Hope, and the Human Spirit with Today's Most Provocative People""]"
4876,Irwin Katsof,"[""Powerful Prayers: Conversations on Faith, Hope, and the Human Spirit with Today's Most Provocative People""]"
4877,Robert H. Schuller,"[""Powerful Prayers: Conversations on Faith, Hope, and the Human Spirit with Today's Most Provocative People""]"
4878,Lena Dunham,"['Nisam ja takva: Priče jedne devojke o tome šta je sve dosad ""naučila""']"
4879,Jasmina Markovic Karovic,"['Nisam ja takva: Priče jedne devojke o tome šta je sve dosad ""naučila""']"
4880,Adelbert von Chamisso,['Storia straordinaria di Peter Schlemihl']
4881,Enrico De Angelis,['Storia straordinaria di Peter Schlemihl']
4882,Laura Bocci,['Storia straordinaria di Peter Schlemihl']
4883,Guillermo Fadanelli,['¿Te veré en el desayuno?']
4884,Lesley Pearse,['Να με θυμάσαι']
4885,Paul Bocage,"['Les Mohicans de Paris, tome 2']"
4886,Daniel Defoe,"['Moll Flanders', 'Moll Flanders']"
4887,Scott Mackey,"['Courage Matters: (Ray Courage, #1)']"
4888,Belinda Seaward,['Hotel Juliet']
4889,Michael Lister,['Blood Oath: A John Jordan Mystery Book 11']
4890,Mackenzie Crowne,"[""The Billionaire's Con""]"
4891,Thomas B. Reverdy,['Die Verflüchtigten']
4892,A.C. Katt,['The Sarrans Return']
4893,Gavin Bowd,['Unreconciled: Poems 1991-2013; A Bilingual Edition']
4894,Maria Sharapova,['Unstoppable: My Life So Far']
4895,Alice McDermott,['The Ninth Hour']
4896,Em Woods,['Impossible to Resist']
4897,Richard Ferrone,"['Gathering Prey (Lucas Davenport, #25)', 'Extremely Loud and Incredibly Close']"
4898,Shenaaz Nanji,['Indian Tales']
4899,Christopher Corr (Illustrator),['Indian Tales']
4900,Aurell Bronte,['North: How to Live Scandinavian']
4901,Chris Roberts,['Beyoncégraphica: A Graphic Biography of Beyoncé']
4902,Chris Fitch,['Atlas of Untamed Places: An extraordinary journey through our wild world']
4903,Emma Wildes,"['Uma Aposta Perversa', 'Sin miedo al escándalo', 'Untamed: Riding West & Lawless (Untamed #1 & 2)']"
4904,Maria Jose Santos,['Uma Aposta Perversa']
4905,Charlie Gallagher,['Blood Money']
4906,Irvine Welsh,['Varza reincalzita']
4907,Zoe  Danielle,"['Business (Phoenix, #1)']"
4908,Dorsey Armstrong,['Turning Points in Medieval History']
4909,Valerio Massimo Manfredi,['Talos de Esparta']
4910,Giovannino Guareschi,['Gente così']
4911,Lauren Oliver,"['Delírio (Delírio, #1)', 'Pánico']"
4912,Valerie Harper,"['I, Rhoda']"
4913,Nancy Woodruff,"[""My Wife's Affair""]"
4914,David Martin,['Christmas Tree']
4915,Melissa Sweet,['Christmas Tree']
4916,Andrew Flintoff,['Being Freddie: My Story So Far']
4917,Tad Hills,['Duck & Goose Find A Pumpkin']
4918,Amelie Nothomb,"['El Sabotaje Amoroso', 'Böses Mädchen', 'Vòng tay Samurai']"
4919,Tracy Kiely,['A Perfect Manhattan Murder']
4920,Jeffrey A. Brown,"['Black Superheroes, Milestone Comics']"
4921,Cheryl McIntyre,['Love Sex & Other Games (Part 2)']
4922,Dawn McIntyre-Decker,['Love Sex & Other Games (Part 2)']
4923,Romain Sardou,['Une seconde avant Noël']
4924,Matt Groening,['Big Beefy Book of Bart Simpson']
4925,Henry Cole,['On the Way to the Beach']
4926,Pauline Bardin,['Québec Land']
4927,Edouard Bourre-Guibert,['Québec Land']
4928,Alessandro Perissinotto,"['Gli attrezzi del narratore: Modi di costruire storie, da Joyce a Dylan Dog']"
4929,Cheryl Day,['The Back in the Day Bakery Cookbook']
4930,Griffith Day,['The Back in the Day Bakery Cookbook']
4931,Mario Puzo,['Godfather Terakhir']
4932,Tanti Lesmana,['Godfather Terakhir']
4933,Amanda Ripley,['The Smartest Kids in the World: And How They Got That Way']
4934,John Prados,['Combined Fleet Decoded: The Secret History of American Intelligence and the Japanese Navy in World War II']
4935,Peter H. Beard,['Peter Beard: Fifty Years of Portraits']
4936,Charles Baxter,['The Feast of Love']
4937,Stephen MacDonald,['Not about Heroes']
4938,Shobhaa De,['Die Halbschwestern']
4939,Angela Schumitz,['Die Halbschwestern']
4940,Heinz Tophinke,['Die Halbschwestern']
4941,Wilfred Owen,['The Poems Of Wilfred Owen']
4942,Scarlet Blackwell,['Beached Hearts']
4943,Jerzy Kosinski,['El pájaro pintado']
4944,James Dashner,"['The Hunt for Dark Infinity (The 13th Reality, #2)', 'Le jeu du maître (Le jeu du maître, #1)']"
4945,Harriet Ziefert,"[""You Can't See Your Bones with Binoculars"", 'Zoo Parade!']"
4946,Elizabeth Cody Kimmel,"['Scaredy Kat (Suddenly Supernatural #2)', 'Suddenly Supernatural Books 1 and 2: Book 1: School Spirit; Book 2: Scaredy Kat']"
4947,Jason Hutt,"['Dust (Children of the Republic, #1)']"
4948,John Keegan,['The Face of Battle']
4949,Christine Pope,"['Welcome to Skullcrusher Mountain', 'The Gaia Gambit (The Gaian Consortium #3)']"
4950,Madelynne Ellis,"['Blood Moon', 'The Mammoth Book of Hot Romance', 'All Right Now (Black Halo #3)']"
4951,Endang Sulistyowati,"['Only in Your Arms : Dalam Pelukanmu (Vallerands, #1)']"
4952,Faziela,['Si Mangkuk Tingkat']
4953,Charles L. Mee Jr.,"[""Rembrandt's Portrait: A Biography""]"
4954,Charles L. Mee,"[""Rembrandt's Portrait: A Biography""]"
4955,Sarra Manning,['The Worst Girlfriend in the World']
4956,Sara Pennypacker,"['Clementine', 'Clementine and the Spring Trip (Clementine, #6)']"
4957,Marla Frazee,"['Clementine', 'Clementine and the Spring Trip (Clementine, #6)']"
4958,Beth Kephart,['This Is the Story of You']
4959,Sherman Alexie,"['Reservation Blues', 'Eddie and the Cruisers']"
4960,Andre Maurois,['Disraeli']
4961,Olivier Morel,['Revenants']
4962,Mael,['Revenants']
4963,Stephen Jones,"['Best New Horror 18 (The Mammoth Book of Best New Horror, #18)']"
4964,Al Sarrantonio,"['Best New Horror 18 (The Mammoth Book of Best New Horror, #18)', 'Laughing Space: an Anthology of Science Fiction Humour']"
4965,Nicholas Royle,"['Best New Horror 18 (The Mammoth Book of Best New Horror, #18)']"
4966,Michael  Bishop,"['Best New Horror 18 (The Mammoth Book of Best New Horror, #18)']"
4967,Mark Chadbourn,"['Best New Horror 18 (The Mammoth Book of Best New Horror, #18)', 'The Scar-Crow Men (Swords of Albion, #2)']"
4968,Joel Lane,"['Best New Horror 18 (The Mammoth Book of Best New Horror, #18)', 'Terror Tales of the Cotswolds']"
4969,David J. Schow,"['Best New Horror 18 (The Mammoth Book of Best New Horror, #18)']"
4970,Don Tumasonis,"['Best New Horror 18 (The Mammoth Book of Best New Horror, #18)']"
4971,David Morrell,"['Best New Horror 18 (The Mammoth Book of Best New Horror, #18)', 'The Fraternity Of The Stone']"
4972,Ramsey Campbell,"['Best New Horror 18 (The Mammoth Book of Best New Horror, #18)', 'Terror Tales of the Cotswolds']"
4973,F. Gwynplaine MacIntyre,"['Best New Horror 18 (The Mammoth Book of Best New Horror, #18)']"
4974,Richard Christian Matheson,"['Best New Horror 18 (The Mammoth Book of Best New Horror, #18)']"
4975,Geoff Ryman,"['Best New Horror 18 (The Mammoth Book of Best New Horror, #18)', ""The Year's Best Science Fiction: Nineteenth Annual Collection""]"
4976,Glen Hirshberg,"['Best New Horror 18 (The Mammoth Book of Best New Horror, #18)']"
4977,John  Gordon,"['Best New Horror 18 (The Mammoth Book of Best New Horror, #18)']"
4978,Christopher Fowler,"['Best New Horror 18 (The Mammoth Book of Best New Horror, #18)']"
4979,Mark Samuels,"['Best New Horror 18 (The Mammoth Book of Best New Horror, #18)']"
4980,Mark Morris,"['Best New Horror 18 (The Mammoth Book of Best New Horror, #18)']"
4981,Lynda E. Rucker,"['Best New Horror 18 (The Mammoth Book of Best New Horror, #18)']"
4982,Jay Lake,"['Best New Horror 18 (The Mammoth Book of Best New Horror, #18)']"
4983,Peter Atkins,"['Best New Horror 18 (The Mammoth Book of Best New Horror, #18)']"
4984,To Hoai,['Dế Mèn Phiêu Lưu Ký']
4985,Ta Huy Long,['Dế Mèn Phiêu Lưu Ký']
4986,Franklin W. Dixon,['The Haunted Fort (The Hardy Boys # 03)']
4987,Adam Hamdy,"[""Pendulum: The explosive thriller you won't be able to put down (John Wallace 1)""]"
4988,Halide Edib Adivar,['Handan']
4989,Marilyn Burns,['Math for Smarty Pants']
4990,Christie Golden,"['Enemy of My Enemy (Star Trek: Voyager; Spirit Walk, #2)', 'Spirit Walk (Star Trek: Voyager; Spirit Walk, #1)']"
4991,Kirsten Beyer,"['Fusion (Star Trek Voyager: String Theory, #2)', 'Distant Shores: A Tenth-Anniversary Celebration']"
4992,Marco Palmieri,['Distant Shores: A Tenth-Anniversary Celebration']
4993,Ilsa J. Bick,['Distant Shores: A Tenth-Anniversary Celebration']
4994,Robert Greenberger,['Distant Shores: A Tenth-Anniversary Celebration']
4995,Heather Jarman,['Distant Shores: A Tenth-Anniversary Celebration']
4996,Terri Osborne,['Distant Shores: A Tenth-Anniversary Celebration']
4997,Kim Sheard,['Distant Shores: A Tenth-Anniversary Celebration']
4998,James Swallow,"['Distant Shores: A Tenth-Anniversary Celebration', 'Deus Ex: Hard Line']"
4999,Geoffrey Thorne,['Distant Shores: A Tenth-Anniversary Celebration']
5000,Jeffrey  Lang,['Distant Shores: A Tenth-Anniversary Celebration']
5001,Robert T. Jeschonek,['Distant Shores: A Tenth-Anniversary Celebration']
5002,Christopher L. Bennett,['Distant Shores: A Tenth-Anniversary Celebration']
5003,Anita Stansfield,['In the Valley of the Mountains']
5004,Firoozeh Dumas,['Funny in Farsi: A Memoir of Growing Up Iranian in America']
5005,Georgia Cates,"['The Sin Trilogy Bundle (The Sin Trilogy, #1-3)']"
5006,Bel Pesce,['A Menina do Vale']
5007,River Jaymes,"['The Boyfriend Mandate (The Boyfriend Chronicles, #2)']"
5008,Teri Dunn Chace,"[""The Anxious Gardener's Book of Answers""]"
5009,Andrzej Stasiuk,['Галицькі оповідання']
5010,Andzhei Stasiuk,['Галицькі оповідання']
5011,Taras Prokhas'ko,['Галицькі оповідання']
5012,David Stoop,['Rethink How You Think: How to Create Lasting Change Today']
5013,Ardyth DeBruyn,['A School for Villains']
5014,Leo DeBruyn,['A School for Villains']
5015,Emma Darcy,['His Most Exquisite Conquest (The Legendary Finn Brothers #2)']
5016,Michael  McIntyre,['Life and Laughing: My Story']
5017,Nancy Leigh DeMoss,['Choosing Forgiveness: Your Journey to Freedom']
5018,Lisa Oliver,"[""The Biker's Omega (Alpha and Omega #1)""]"
5019,Kishan Paul,['Blind Love']
5020,Nancy Evans Cooney,['Go Away Monsters Lick']
5021,Maxie Chambliss,['Go Away Monsters Lick']
5022,Michael   O'Neill,['The Gyden I: Elva and Fainche']
5023,John Scalzi,"['Head On (Lock In, #2)', ""Old Man's War (Old Man's War, #1)"", ""The Human Division (Old Man's War, #5)""]"
5024,L.C. Chase,['A Fortunate Blizzard']
5025,Paula Rossello Frau,['La reina Lyriana de Treeason']
5026,Sean Michael,"['Perfect Ten', 'Heaven Sent', 'Helpmate (Chess, #4)']"
5027,Jose Oscar Hernandez Sendin,"['Doctor sueño  (El resplandor, #2)']"
5028,Kerry Greenwood,"['Forbidden Fruit', 'Blood And Circuses (Phryne Fisher, #6)', 'Death By Water (Phryne Fisher, #15)']"
5029,Mary Moody,"['Long Hot Summer, The']"
5030,Lauralee Bliss,['Love Finds You in Bethlehem New Hampshire']
5031,Matt Forbeck,"[""Matt Forbeck's Brave New World: Revolution""]"
5032,Karen Odden,['Hard Times']
5033,Pamela  Cook,['Close to Home']
5034,Ginny Baird,"['Crazy for You', 'The Christmas Cookie Shop (Christmas Town, #1)']"
5035,Diana Wynne Jones,['Dark Lord of Derkholm']
5036,Jonathan Broadbent,['Dark Lord of Derkholm']
5037,Angela Royston,['Kitten']
5038,Jane Burton,['Kitten']
5039,Mark Dice,['Illuminati in the Music Industry']
5040,Kathleen Helal,['Hard Times']
5041,Jeniann Bowers,['Fragments']
5042,Susan Elliot Wright,['Todo lo que dejamos atras']
5043,Lynn Hagen,"[""Tank's Tweak (Lady Blue Crew #5)""]"
5044,Carolyn Cassady,"['Off the Road: My Years with Cassady, Kerouac, and Ginsberg']"
5045,Natalie Convers,['Mariposas en tu estómago I']
5046,Melissa K Norris,"[""Hand Made: The Modern Woman's Guide to Made-from-Scratch Living""]"
5047,September McCarthy,['Why Motherhood Matters: An Invitation to Purposeful Parenting']
5048,Hope Lyda,['One Minute with Jesus for Women Milano Softone™']
5049,Joseph O'Connor,"['Star Of The Sea', 'Star of the Sea']"
5050,Kerry Gamill,['Superman For Earth']
5051,Dennis Janke,['Superman For Earth']
5052,Kathleen O'Dell,['Lost in the City: A Julie Mystery']
5053,Sergio Geovine,['Lost in the City: A Julie Mystery']
5054,J.R. Rogue,['Background Music']
5055,Jennifer duBois,['Insaisissable']
5056,Janey Fraser,['The Playgroup']
5057,John Berger,['Pig Earth']
5058,Seppo Jokinen,"['Koskinen ja pudotuspeli (Koskinen, #3)']"
5059,Jennifer Griffith,['Wills & Trust (Legally in Love #4)']
5060,Elyssa Campbell-Barr,"['Choosing Childcare - Nurseries, Childminders, Nannies, Au Pairs and Family']"
5061,Don DeLillo,"['Underworld', 'The Angel Esmeralda']"
5062,Hilaire Belloc,['Characters of the Reformation']
5063,Joe Harris,"['Ghost Projekt, Vol. 1']"
5064,Steve Rolston,"['Ghost Projekt, Vol. 1']"
5065,Marc  Weingarten,['Cape Comedy']
5066,Suzanne Brockmann,"[""Buah Hati Frisco (Frisco's Kid) - Navy Seals Series Book 6"", 'Gone Too Far (Troubleshooters #6)', 'It Came Upon a Midnight Clear (Tall, Dark and Dangerous, #6)']"
5067,Alexandra May,['Ethandun (The Lost Dacomé Files #2)']
5068,Jennifer Echols,"['Going Too Far', 'Such a Rush']"
5069,Julius Evola,['Il Mito del Sangue']
5070,David A. Kyle,"['Z-Lensman (Second Stage Lensman Trilogy, #3)']"
5071,"E.E. ""Doc"" Smith","['Z-Lensman (Second Stage Lensman Trilogy, #3)']"
5072,Christopher DeWan,['Hoopty Time Machines']
5073,Dan Cafaro,['Hoopty Time Machines']
5074,Yevgenia Nayberg,['Hoopty Time Machines']
5075,Risto Mejide,['X']
5076,Lou Kuenzler,['Princess DisGrace: A Royal Disaster']
5077,Tara Sivec,['Worth the Trip']
5078,Stephen Kramer,"[""Hidden Worlds: Looking Through a Scientist's Microscope""]"
5079,Dennis Kunkel,"[""Hidden Worlds: Looking Through a Scientist's Microscope""]"
5080,`bs m`rwfy,['سمفونی مردگان']
5081,James Sallis,"['Ghost of a Flea (Lew Griffin, #6)', ""Ellery Queen's Mystery Magazine, March/April 2016 (Ellery Queen Mystery Magazine #894, 895)""]"
5082,John P. Strelecky,['The Why Cafe: A Story']
5083,Robab Pourasgar,['مسابقات برج عقرب']
5084,John Barrowman,['Torchwood: Exodus Code']
5085,Carole E. Barrowman,['Torchwood: Exodus Code']
5086,Sylvia Day,"['Offenbarung (Crossfire, #2)', ""Don't Tempt Me (Georgian, #4)"", 'A Passion for Him', 'A Touch of Crimson (Renegade Angels, #1)']"
5087,seventhswan,['The Sudden Visibility of Sound']
5088,Rosie Harris,['Sing for Your Supper']
5089,Charlie Hart,['Protecting Our Virgin (Our Virgin #1)']
5090,Frankie Love,['Protecting Our Virgin (Our Virgin #1)']
5091,Outi Menna,"['Majakanvartija (Patrik Hedström, #7)']"
5092,Arthur Rackham,['The Arthur Rackham Fairy Book']
5093,James Hogg,"['The Great English Short-Story Writers, Volume I']"
5094,Rachel Olsen,"[""It's No Secret: Revealing Divine Truths Every Woman Should Know""]"
5095,Cao Xueqin,['The Story of the Stone: The Warning Voice - Volume 3 of 5']
5096,David Hawkes,['The Story of the Stone: The Warning Voice - Volume 3 of 5']
5097,Suzanne Oberhardt,['Frames Within Frames: The Art Museum as Cultural Artifact']
5098,David duChemin,['Within the Frame: The Journey of Photographic Vision']
5099,Marcia Schonberg,['Ohio Plants And Animals']
5100,Jack Hodgins,"['The Invention of the World', ""Spit Delaney's Island: Selected Stories"", 'Innocent Cities', 'Sunshine Sketches of a Little Town']"
5101,Brian Night,"['Adopting The Minimalist Mindset: How To Live With Less, Downsize, And Get More Fulfillment From Life']"
5102,Meredith Wild,"['Dangereuses affinités (Hacker, #1)']"
5103,Meredith Allen Conner,['The Wolven (The Elementals #3)']
5104,Peter  May,"['Černé světlo (Akta Enzo, #3)', 'Extraordinary People (The Enzo Files, #1)']"
5105,Linda Kaprova,"['Černé světlo (Akta Enzo, #3)']"
5106,Vickie M. Stringer,['Let That Be the Reason']
5107,Dennis Lehane,"['Prenúncio de Chuva (Kenzie & Gennaro #5)', 'Moonlight Mile']"
5108,Renato Carreira,['Prenúncio de Chuva (Kenzie & Gennaro #5)']
5109,J.L. Merrow,"['Love Found on Lindisfarne', ""Summer Lovin'""]"
5110,Richard  Cohen,['How to Write like Tolstoy: A Journey into the Minds of Our Greatest Writers']
5111,Debbie  Bailey,"[""Sienna's Submission""]"
5112,Kathryn J. Atwood,"['Women Heroes of World War II: 26 Stories of Espionage, Sabotage, Resistance, and Rescue']"
5113,Lawrence Shainberg,['Crust']
5114,Robert Bruce Stewart,"['The Birth of M.E. Meegs (Emmie Reese Mysteries, #1)']"
5115,Kacey Hammell,['Tied Down']
5116,Fernando Arrabal,['Credo quia confusum']
5117,Helen Waddell,['Peter Abelard']
5118,SlH `bd lSbwr,['ليلى والمجنون']
5119,Patricia M. Stockland,['In the Cattle Yard']
5120,Todd Ouren,['In the Cattle Yard']
5121,Kentaro Miura,"['Berserk, Vol. 36']"
5122,Duane Johnson,"['Berserk, Vol. 36']"
5123,Carys Bray,['A Song for Issy Bradley']
5124,Daniel Silva,"['The Rembrandt Affair (Gabriel Allon, #10)']"
5125,Diane Ludlow,['Sex Video: Sweet Revenge']
5126,Carlos Cuauhtemoc Sanchez,"['Juventud En Extasis 2', 'Volar sobre el pantano']"
5127,M.G. Sweeney,['For The Love Of God']
5128,Christopher J. Priest,"['The Savage Sword of Conan, Vol. 12']"
5129,Larry Yakata,"['The Savage Sword of Conan, Vol. 12']"
5130,Don Kraar,"['The Savage Sword of Conan, Vol. 12']"
5131,Gregory S. Fallis,"[""Just the Facts, Ma'am: A Writer's Guide to Investigator's and Investigation Techniques""]"
5132,Samuel Beckett,"['اولین عشق', 'Selected Poems 1930-1988']"
5133,`ly bsh,['اولین عشق']
5134,Bryan Talbot,"['Grandville Bête Noire (Grandville, #3)', 'Le avventure di Luther Arkwright']"
5135,Matt Wagner,"['Grendel Omnibus, Vol. 2: The Legacy']"
5136,Diana Schutz,"['Grendel Omnibus, Vol. 2: The Legacy']"
5137,Bernie Mireault,"['Grendel Omnibus, Vol. 2: The Legacy']"
5138,Dean A.  James,['Posted to Death (Simon Kirby-Jones Mysteries Book 1)']
5139,Ambai,['Fish In A Dwindling Lake']
5140,Lakshmi Holmstrom,['Fish In A Dwindling Lake']
5141,Bruce Van Natta,['Saved by Angels: To Share How God Talks to Everyday People']
5142,Judy Eron,['What Goes Up...: Surviving the Manic Episode of a Loved One']
5143,Xavier Francisco Amador,['What Goes Up...: Surviving the Manic Episode of a Loved One']
5144,Mark  Miller,"['New Kids on the Rock (Small World Global Protection Agency, #1)']"
5145,Laurence Gough,['Serious Crimes']
5146,Suzette Hollingsworth,['Sherlock Holmes and the Case of the Sword Princess (The Great Detective in Love #1)']
5147,Christopher Collier,['My Brother Sam Is Dead']
5148,Lindsey Davis,['Master and God']
5149,Ashley Wolff,['Only the Cat Saw']
5150,Rosalyn Eves,['Lost Crow Conspiracy (Blood Rose Rebellion #2)']
5151,Michael McMillan,['Data Structures and Algorithms with JavaScript']
5152,Juan Valera,['Juanita La Larga']
5153,Jerrod Edson,['The Moon Is Real']
5154,Hayden Thorne,"[""Renfred's Masquerade""]"
5155,Annie Nicholas,"['A Taste of Shifter Geekdom (Vanguard Elite, #2)']"
5156,M.E. Kerr,"['Fell Down (Fell, #3)']"
5157,Barbara Stoler Miller,['The Bhagavad-Gita']
5158,Bren Christopher,"[""The Professor's Assistant""]"
5159,John Durant,['The Paleo Manifesto: Ancient Wisdom for Lifelong Health']
